header,must,stay,intact
a,b,c,S
e,f,g,ecr
i,j,k,et
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
%s,%d,%x,%d
